,video_id,label,total_label,cls_label,or_label
0,--1Hln74Ano,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Hunter Biden"": 0, ""Gavin Newsom"": 0, ""Donald Trump"": 0}",0.0,0,0
1,--6VaQ-Y0R4,"{""Kamala Harris"": 1, ""Gavin Newsom"": 1, ""Donald Trump"": 0}",0.6666666666666666,1,1
2,-0KVHlRomHw,"{""Nigel Farage"": 1, ""Tony Blair"": 1, ""Keir Starmer"": 1, ""Boris Johnson"": 1}",1.0,1,1
3,-0k881ES7Bo,"{""Joe Biden"": 1, ""Donald Trump"": 0}",0.5,1,1
4,-1SnmXvrDeI,"{""Joe Biden"": 0, ""Elon Musk"": 0, ""Bill Clinton"": 0, ""Donald Trump"": 0}",0.0,0,0
5,-1esuJrbV0w,"{""Chuck Schumer"": 0, ""Kamala Harris"": 1}",0.5,1,1
6,-2-2U8TxQIA,"{""Jennifer Lopez"": 0, ""Elon Musk"": 0, ""Jimmy Kimmel"": 0, ""Donald Trump"": 0}",0.0,0,0
7,-2DKPhdxv0s,"{""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
8,-2L2NHTyylU,"{""Joe Biden"": 0, ""Kamala Harris"": 1, ""Elon Musk"": 0, ""Donald Trump"": 1}",0.5,1,1
9,-2TDj_37Wig,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
10,-2YUuBuMTPw,"{""Joe Biden"": 0, ""Kamala Harris"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
11,-32fj9lhNVA,"{""Barack Obama"": 0, ""Jimmy Fallon"": 0}",0.0,0,0
12,-35sQlQ8tYc,"{""Barack Obama"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 1, ""Joe Biden"": 0, ""Benjamin Netanyahu"": 1, ""Michelle Obama"": 1}",0.5,1,1
13,-3qdllDsGm4,"{""Jimmy Kimmel"": 1, ""Donald Trump"": 0, ""Arnold Schwarzenegger"": 0}",0.3333333333333333,1,1
14,-3vSkHAHIs4,"{""Elon Musk"": 0, ""Sam Altman"": 1}",0.5,1,1
15,-4i17fjvXU0,"{""Barack Obama"": 1, ""Kamala Harris"": 1, ""Bill Clinton"": 0, ""Gavin Newsom"": 0, ""Donald Trump"": 0, ""Nancy Pelosi"": 0, ""Joe Biden"": 0}",0.2857142857142857,0,1
16,-6fb49zu6L8,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
17,-7gvQck95iE,"{""Vladimir Putin"": 0, ""Donald Trump"": 0}",0.0,0,0
18,-7kgbS-voI8,"{""Keith Urban"": 1, ""Jimmy Fallon"": 0}",0.5,1,1
19,-7xyoar-iuY,"{""Elon Musk"": 0, ""Donald Trump"": 1}",0.5,1,1
20,-9k7ochhfgk,"{""Jake Sullivan"": 0, ""Donald Trump"": 0}",0.0,0,0
22,-Ac3MwMrIVU,"{""Hugh Jackman"": 0, ""Jimmy Fallon"": 0}",0.0,0,0
24,-CXBSpVtuxI,"{""Barack Obama"": 0, ""Donald Trump"": 0}",0.0,0,0
25,-Cqv-NZNnTg,"{""Rudy Giuliani"": 1, ""Donald Trump"": 1}",1.0,1,1
26,-DHp4Oo9t6Q,"{""Eric Trump"": 0, ""Donald Trump"": 0}",0.0,0,0
27,-DoH9IAZIno,"{""Kamala Harris"": 1, ""Donald Trump"": 1}",1.0,1,1
28,-E21OifvfeU,"{""Hillary Clinton"": 1, ""Hunter Biden"": 0, ""Donald Trump"": 0, ""Joe Biden"": 0, ""Marjorie Taylor Greene"": 0, ""Elon Musk"": 1}",0.3333333333333333,1,1
29,-EhGbOVsHqQ,"{""Elon Musk"": 0, ""Donald Trump"": 1}",0.5,1,1
30,-FGfC3W4oOw,"{""Joe Biden"": 0, ""Chuck Schumer"": 0, ""Tom Brady"": 0}",0.0,0,0
31,-FT8a8p3z9U,"{""Joe Biden"": 0, ""Donald Trump"": 0, ""Jake Sullivan"": 1}",0.3333333333333333,1,1
32,-Fqq1HunDQU,"{""Jimmy Fallon"": 0, ""Taylor Swift"": 0}",0.0,0,0
33,-G8Z9GGS_9g,"{""Joe Biden"": 0, ""Kamala Harris"": 1}",0.5,1,1
34,-GDJdCShTx8,"{""Jimmy Kimmel"": 0, ""Mariah Carey"": 0, ""Jill Biden"": 1, ""Snoop Dogg"": 0, ""Jimmy Fallon"": 0, ""Marjorie Taylor Greene"": 1}",0.3333333333333333,1,1
35,-H2jD_CdWcg,"{""Chuck Schumer"": 0, ""Jimmy Fallon"": 0, ""Marjorie Taylor Greene"": 0, ""Elon Musk"": 1, ""Donald Trump"": 1}",0.4,1,1
36,-IEF9gWQ2og,"{""Marco Rubio"": 0, ""Donald Trump"": 0}",0.0,0,0
37,-IRn1k4QTXc,"{""Benjamin Netanyahu"": 1, ""Donald Trump"": 0}",0.5,1,1
38,-J7RZaq9Dh0,"{""Tim Scott"": 1, ""Jimmy Fallon"": 0}",0.5,1,1
39,-JCtviTCXEw,"{""Vladimir Putin"": 0, ""Kamala Harris"": 0, ""Elon Musk"": 1, ""Warren Buffett"": 0, ""Donald Trump"": 0}",0.2,0,1
40,-JeIdPld-tI,"{""Jimmy Fallon"": 0, ""Taylor Swift"": 0}",0.0,0,0
41,-K8JxUueLPM,"{""Kamala Harris"": 0, ""Donald Trump"": 0, ""Nancy Pelosi"": 0, ""Joe Biden"": 0, ""Ted Cruz"": 1}",0.2,0,1
42,-KBvwO7AFqE,"{""Nancy Pelosi"": 0, ""Joe Biden"": 0, ""Kamala Harris"": 0}",0.0,0,0
43,-KKPYQaYwR4,"{""Michael Cohen"": 0, ""Eric Trump"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
44,-Kquuudw71w,"{""Joe Biden"": 0, ""Kamala Harris"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
45,-LI4OfaPfak,"{""Mark Zuckerberg"": 1, ""Nancy Pelosi"": 0, ""Joe Biden"": 0, ""Kamala Harris"": 0, ""Bernie Sanders"": 0}",0.2,0,1
46,-LJovum2s8s,"{""Benjamin Netanyahu"": 1, ""Donald Trump"": 0}",0.5,1,1
47,-M8qyok42xo,"{""George Clooney"": 1, ""Barack Obama"": 0, ""Elon Musk"": 0, ""Justin Timberlake"": 0, ""Donald Trump"": 0}",0.2,0,1
48,-MFOOEKJfV8,"{""Hillary Clinton"": 0, ""Donald Trump"": 0, ""Jake Sullivan"": 0, ""Joe Biden"": 0, ""Jill Biden"": 0, ""Melania Trump"": 0}",0.0,0,0
49,-NtrG0YS_88,"{""Melania Trump"": 0, ""Donald Trump"": 0}",0.0,0,0
50,-OLiKp_QLp4,"{""Joe Biden"": 1, ""Donald Trump"": 0}",0.5,1,1
51,-Oau7LNDc-M,"{""Elon Musk"": 0, ""Kamala Harris"": 1}",0.5,1,1
52,-PNEAWbpm5I,"{""Kamala Harris"": 0, ""Joe Biden"": 0, ""Benjamin Netanyahu"": 1, ""George Clooney"": 0, ""Ted Cruz"": 0}",0.2,0,1
53,-Q6JVvuqf3g,"{""Bruce Springsteen"": 0, ""Boris Johnson"": 0}",0.0,0,0
54,-QC1f9FWgbo,"{""Joe Biden"": 0, ""Chuck Schumer"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
55,-QhWk2MUJck,"{""Jimmy Kimmel"": 0, ""Donald Trump"": 0}",0.0,0,0
56,-Qk-iS1mj4A,"{""Marco Rubio"": 0, ""Donald Trump"": 0}",0.0,0,0
57,-QqjBVtGKJI,"{""Mike Pence"": 1, ""Rudy Giuliani"": 0, ""Donald Trump"": 0}",0.3333333333333333,1,1
58,-RFibmMStJU,"{""Rudy Giuliani"": 0, ""Michael Cohen"": 0, ""Donald Trump"": 0}",0.0,0,0
59,-RlaY8a1v-Q,"{""Joe Biden"": 0, ""Antony Blinken"": 1, ""Xi Jinping"": 0}",0.3333333333333333,1,1
60,-SKC_rvEXrY,"{""Joe Biden"": 1, ""Barack Obama"": 0, ""Xi Jinping"": 1}",0.6666666666666666,1,1
61,-T9z6jzxyNI,"{""Rudy Giuliani"": 0, ""Donald Trump"": 1}",0.5,1,1
62,-Thqk4HmXr4,"{""Joe Biden"": 0, ""Elon Musk"": 0, ""Donald Trump"": 0}",0.0,0,0
63,-Tpdvx17tWY,"{""Chuck Schumer"": 1, ""Barack Obama"": 1, ""Kamala Harris"": 1, ""Pete Buttigieg"": 0, ""Donald Trump"": 0, ""Nancy Pelosi"": 1, ""Joe Biden"": 1}",0.7142857142857143,1,1
64,-UNakQf2XGM,"{""Kelly Clarkson"": 0, ""Jimmy Fallon"": 0}",0.0,0,0
65,-VP7-2QlnGs,"{""Elon Musk"": 0, ""Donald Trump"": 0}",0.0,0,0
66,-VTBXAMNH1E,"{""Joe Biden"": 0, ""Barack Obama"": 0, ""Rupert Murdoch"": 0, ""Rudy Giuliani"": 0, ""Donald Trump"": 0}",0.0,0,0
67,-VpYEthEe-g,"{""Chris Christie"": 0, ""Donald Trump"": 0}",0.0,0,0
68,-VxoF-s8fDU,"{""Joe Biden"": 0, ""Kamala Harris"": 0, ""Donald Trump"": 0}",0.0,0,0
69,-WkGbYL9RyA,"{""Joe Biden"": 0, ""Elon Musk"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
70,-WqjVTgabyk,"{""Vladimir Putin"": 0, ""Elon Musk"": 1, ""Xi Jinping"": 0, ""Donald Trump"": 0}",0.25,0,1
71,-Xxftw5Q3UM,"{""Joe Biden"": 0, ""Barack Obama"": 1, ""Donald Trump"": 0}",0.3333333333333333,1,1
72,-YA-bvYIKwA,"{""Kamala Harris"": 1, ""Donald Trump"": 1}",1.0,1,1
73,-YeY8umejrU,"{""Joe Biden"": 0, ""Xi Jinping"": 1}",0.5,1,1
74,-YmhjI_OhMg,"{""Vladimir Putin"": 1, ""Elon Musk"": 0, ""Bill Clinton"": 1, ""Donald Trump"": 0}",0.5,1,1
75,-_2tO8moB-E,"{""Marco Rubio"": 1, ""Vladimir Putin"": 0, ""Donald Trump"": 0}",0.3333333333333333,1,1
76,-_4WaraE5iE,"{""Joe Biden"": 0, ""Donald Trump"": 0}",0.0,0,0
77,-_B0hj6Om_Q,"{""Michael Cohen"": 1, ""Donald Trump"": 0}",0.5,1,1
78,-_cvo7gHzh0,"{""Mike Pence"": 0, ""Donald Trump"": 0}",0.0,0,0
